Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd RST Flags,Bwd RST Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Bwd Act Data Pkts,Fwd Seg Size Min,Bwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,ICMP Code,ICMP Type,Fwd TCP Retrans. Count,Bwd TCP Retrans. Count,Total TCP Retrans. Count,Total Connection Flow Time,Label
129.0.0.20-8.6.0.1-0-0-0,129.0.0.20,0,8.6.0.1,0,0,2023-04-27 23:17:47.483623,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,0,normal
192.168.21.225-192.168.21.70-41360-80-6,192.168.21.225,41360,192.168.21.70,80,6,2024-06-25 09:54:04.702675,119854005,900,857,31548.0,42717.0,66.0,0.0,35.05333333333332,32.95436963908175,87.0,0.0,49.84480746791133,43.059922920367406,619.6288559568785,14.659501783023437,68253.98917995449,88501.68801084913,254430.0,15.0,119853909.0,133319.14238042277,91699.90823746342,254469.0,604.0,119809431.0,139964.28855140196,107183.38745764468,297885.0,561.0,478,491,0,0,0,0,28920,27424,7.509135802345528,7.1503659806779085,0.0,87.0,42.26807057484348,38.91691941309711,1514.5266166054948,0,0,0,969,1757,0,0,0,0.9522222222222222,42.268070574843485,35.053333333333335,49.84480746791132,377.1428571428572,5.714285714285714,318.6710451746384,406.0,4.666666666666667,6538.537107003321,0.0,0.0,0.0,0.0,0,506,478,491,0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,10,10,3241548851,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.225-192.168.21.70-37955-80-6,192.168.21.225,37955,192.168.21.70,80,6,2024-06-22 18:55:49.682376,12049,6,4,337.0,227.0,337.0,0.0,56.16666666666667,137.5796738863218,227.0,0.0,56.75,113.5,46808.86380612499,829.9443937256203,1338.7777777777778,2686.79050066142,8294.0,25.0,12049.0,2409.8,3366.444741860469,8294.0,209.0,11761.0,3920.333333333333,3876.90757348345,8397.0,1680.0,1,1,0,0,0,0,200,136,497.9666362353722,331.9777574902481,0.0,337.0,56.4,121.69561299497292,14809.82222222222,2,2,0,2,9,0,0,0,0.6666666666666666,56.4,56.16666666666666,56.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,1,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,1,0,1,12049,cyberattack_ocpp16_unauthorized_access
192.168.21.225-192.168.21.70-41408-80-6,192.168.21.225,41408,192.168.21.70,80,6,2024-06-25 09:46:04.394577,119993179,959,761,31614.0,41679.0,66.0,0.0,32.96558915537022,33.01720093940103,87.0,0.0,54.76872536136665,42.03509335354899,610.8097194424694,14.334148110202165,69804.0599185573,97622.32835235057,252614.0,13.0,119993146.0,125253.80584551144,105818.5062774162,256780.0,478.0,119993162.0,157885.7394736843,105670.30693682004,299180.0,196.0,479,480,0,0,0,0,30688,24352,7.992120952141788,6.342027158060376,0.0,87.0,42.6122093023256,38.80811780947744,1506.0700079142798,0,0,0,959,1720,0,0,0,0.7935349322210636,42.61220930232558,32.965589155370175,54.76872536136662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,435,506,479,480,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,2761356034,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.233-224.0.0.251-5353-5353-17,192.168.21.233,5353,224.0.0.251,5353,17,2024-06-25 09:33:28.428597,570,4,0,156.0,0.0,39.0,39.0,39.0,0.0,0.0,0.0,0.0,0.0,273684.2105263158,7017.543859649123,190.0,311.08037546589145,549.0,0.0,570.0,190.0,311.08037546589145,549.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,32,0,7017.543859649123,0.0,39.0,39.0,39.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,39.0,39.0,0.0,156.0,4.0,273684.2105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,4,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,570,normal
192.168.21.225-192.168.21.70-50043-80-6,192.168.21.225,50043,192.168.21.70,80,6,2024-06-22 18:53:01.912944,12123,6,4,337.0,227.0,337.0,0.0,56.16666666666667,137.5796738863218,227.0,0.0,56.75,113.5,46523.137837169015,824.8783304462592,1347.0,2845.8136797759616,8810.0,47.0,12123.0,2424.6,3617.350798581747,8810.0,257.0,11873.0,3957.6666666666665,4672.724508606658,9336.0,895.0,1,1,0,0,0,0,200,136,494.9269982677555,329.95133217850366,0.0,337.0,56.4,121.69561299497292,14809.82222222222,2,2,0,2,9,0,0,0,0.6666666666666666,56.4,56.16666666666666,56.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,1,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,1,0,1,12123,cyberattack_ocpp16_unauthorized_access
192.168.21.225-192.168.21.70-36483-80-6,192.168.21.225,36483,192.168.21.70,80,6,2024-06-22 19:02:38.283865,32373,6,4,337.0,227.0,337.0,0.0,56.16666666666667,137.5796738863218,227.0,0.0,56.75,113.5,17421.925678806412,308.8993914681988,3596.9999999999995,8522.355146906282,26029.0,30.0,32373.0,6474.6,11049.14355504534,26029.0,164.0,32214.0,10738.0,13460.758782475825,26219.0,1795.0,1,1,0,0,0,0,200,136,185.33963488091928,123.55975658727952,0.0,337.0,56.4,121.69561299497292,14809.82222222222,2,2,0,2,9,0,0,0,0.6666666666666666,56.4,56.16666666666666,56.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,1,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,1,0,1,32373,cyberattack_ocpp16_unauthorized_access
192.168.21.225-192.168.21.70-33623-80-6,192.168.21.225,33623,192.168.21.70,80,6,2024-06-22 18:46:22.863115,21269,6,4,337.0,227.0,337.0,0.0,56.16666666666667,137.5796738863218,227.0,0.0,56.75,113.5,26517.466735624617,470.1678499224223,2363.222222222222,4186.495813260111,11794.0,46.0,21269.0,4253.8,5015.775832311488,11794.0,136.0,21112.0,7037.333333333334,4869.902907998612,11943.0,2204.0,1,1,0,0,0,0,200,136,282.10070995345336,188.0671399689689,0.0,337.0,56.4,121.69561299497292,14809.82222222222,2,2,0,2,9,0,0,0,0.6666666666666666,56.4,56.16666666666666,56.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,1,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,1,0,1,21269,cyberattack_ocpp16_unauthorized_access
172.30.0.120-239.255.255.250-50927-1900-17,172.30.0.120,50927,239.255.255.250,1900,17,2023-04-26 12:54:30.781906,3018357,4,0,700.0,0.0,175.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,231.9142500373548,1.3252242859277414,1006119.0,6207.609282163303,1012748.0,1000443.0,3018357.0,1006119.0,6207.609282163303,1012748.0,1000443.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,32,0,1.3252242859277414,0.0,175.0,175.0,175.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,175.0,175.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,233.3333333333333,0.0,0.0,0,0,4,0,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,3018357,normal
8.6.0.1-8.0.6.4-0-0-0,8.6.0.1,0,8.0.6.4,0,0,2024-06-25 11:38:57.611957,60178892,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0498513664891005,30089446.0,18077918.83787296,42872465.0,17306427.0,60178892.0,30089446.0,18077918.83787296,42872465.0,17306427.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0498513664891005,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,30089446.0,18077918.83787296,42872465.0,17306427.0,-1,-1,0,0,0,0,normal
192.168.21.225-192.168.21.70-35515-80-6,192.168.21.225,35515,192.168.21.70,80,6,2024-06-22 18:45:20.119555,7218,6,4,337.0,227.0,337.0,0.0,56.16666666666667,137.5796738863218,227.0,0.0,56.75,113.5,78137.98836242726,1385.4253255749516,802.0,1150.306806899794,2872.0,49.0,7218.0,1443.6,1260.4099729849809,2872.0,157.0,7054.0,2351.333333333333,789.8622242729002,2998.0,1471.0,1,1,0,0,0,0,200,136,831.255195344971,554.1701302299806,0.0,337.0,56.4,121.69561299497292,14809.82222222222,2,2,0,2,9,0,0,0,0.6666666666666666,56.4,56.16666666666666,56.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64240,65160,1,1,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,1,0,1,7218,cyberattack_ocpp16_unauthorized_access
192.168.21.225-192.168.21.70-41758-80-6,192.168.21.225,41758,192.168.21.70,80,6,2024-06-25 09:08:03.256556,119989777,952,777,31548.0,41238.0,66.0,0.0,33.138655462184886,33.01705415171051,87.0,0.0,53.07335907335915,42.46081909128834,606.6016774079012,14.409560907843009,69438.52835648162,97184.76858319994,257861.0,13.0,119989777.0,126172.21556256567,105335.3639116852,257861.0,379.0,119989697.0,154625.8981958762,106404.86959928076,297828.0,187.0,478,474,0,0,0,0,30464,24864,7.934009244804247,6.47555166303876,0.0,87.0,42.097165991902784,38.83271992327703,1507.9801366396766,0,0,0,952,1729,0,0,0,0.8161764705882353,42.097165991902834,33.13865546218487,53.07335907335907,297.0,4.5,338.0303491310989,382.8,4.4,6455.899862719371,0.0,0.0,0.0,0.0,501,506,478,474,32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0,0,0,480118921,cyberattack_ocpp16_dos_flooding_heartbeat
192.168.21.128-52.158.114.137-33924-22-6,192.168.21.128,33924,52.158.114.137,22,6,2023-05-10 03:52:53.295012,110816179,16,10,440.0,528.0,92.0,0.0,27.5,34.959023632437635,104.0,0.0,52.79999999999999,38.03156583681508,8.735186583179338,0.2346227801267177,4432647.16,13857064.213928226,49996450.0,452.0,110750607.0,7383373.800000001,17492798.072372593,50001845.0,452.0,110749636.0,12305515.111111112,21646040.734976057,50048013.0,72183.0,8,8,0,0,0,0,512,320,0.1443832493087494,0.0902395308179683,0.0,104.0,37.23076923076923,37.57052854811355,1411.544615384615,0,0,0,16,26,0,0,0,0.625,37.23076923076923,27.5,52.8,0.0,0.0,0.0,0.0,0.0,0.0,5.333333333333333,146.66666666666666,3.333333333333333,176.0,311,501,8,8,32,0,242384.0,149173.44902160036,354115.0,72985.0,36669696.0,23082414.976392463,49996450.0,10016419.0,-1,-1,0,0,0,12214918710,normal
192.168.21.128-192.168.21.70-41336-80-6,192.168.21.128,41336,192.168.21.70,80,6,2023-04-27 08:27:28.142631,103036877,24,23,512.0,3568.0,70.0,0.0,21.33333333333333,30.168608312884302,574.0,0.0,155.1304347826087,254.95940930912292,39.59747343662211,0.4561473655689312,2239932.1086956514,5203012.038454642,19653430.0,408.0,103033673.0,4479724.913043479,6706123.564893764,19656230.0,10053.0,103036877.0,4683494.409090909,6797144.727634836,19657712.0,408.0,12,12,0,0,0,0,768,736,0.2329263143330712,0.2232210512358599,0.0,574.0,86.80851063829789,190.03874185085343,36114.723404255325,0,0,0,24,47,0,6,0,0.9583333333333334,86.80851063829788,21.33333333333333,155.1304347826087,0.0,0.0,0.0,0.0,0.0,0.0,2.4,51.2,2.3,356.8,0,501,12,12,0,32,1008625.1428571428,1178346.4512896067,3282353.0,14457.0,13706626.714285716,4472081.885436271,19653430.0,8609769.0,-1,-1,0,0,0,4901932180,cyberattack_ocpp16_fdi_chargingprofile
